id,title,author,cities
13685,"The Works of John Knox, Volume 2 (of 6)","John Knox","15879,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,7429,505"
13686,"On the Trail of The Immigrant","Edward A. Steiner","21921,21921,21147,21185,21147,21147"
13687,"European Background Of American History","Edward Potts Cheyney","8325,6112,1405,8325"
13688,"Diary of an Enlisted Man","Lawrence Van Alstyne","21726,21921,20430,21071,21071,21071,21071,20430,20430,20430,20430,20430,20430,20430,20430,21936,20410,20430,20410,20430,20410,20430,20410,20410,20430,20410,20430,20430,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20430,20429,20430,20430,20430,20430,20430,20430,20430,20410,20410,20430,20430,20410,20410,20410,20430,20430,20430,20430,20410,20097,20410,20410,20410,20430,20430,20410,21936,20430,20430,20430,20430"
13689,"The Career of Katherine Bush","Elinor Glyn","2576,2576"
13690,"The Art of Politicks","James Bramston","21149,22455,21149"
13691,"The Burglars' Club","Henry A. Hering",22460
13692,"The Friendly Club and Other Portraits","Francis Parsons","21149,21921,20321,21149,21149,21150,21149,21150,21150,21439,20430,21149,21149,21149,21149,21921,21127,22376"
13693,"A Literary and Historical Atlas of Asia","J. G. Bartholomew","20976,14593,10885,16274,16275,10753,13161,14694,14638,14617,13461,5972,15664,1571,20976,14671,14656,14684"
13694,"Motor Boat Boys on the Great Lakes","Louis Arundel","20430,21312,2561,20430,21312,21312"
13695,"Defenders of Democracy",Anonymous,"14249,22745"
13696,Merlin,"Edwin Arlington Robinson","21921,21921"
13697,"Jane Allen: Center","Edith Bancroft","519,22455,21921,21921,21921,20489,21921"
13698,"Anthony Trent, Master Criminal","Wyndham Martyn","23613,21537,21149,21964,21458,21921,21716,21921,239,239,22455,2514,22455,239"
13699,"The Behavior of Crowds","Everett Dean Martin","21921,21921"
13700,"Johnny Ludlow. First Series","Mrs. Henry Wood","21634,21634"
13701,"On Some Ancient Battle-Fields in Lancashire","Charles Hardwick","505,505,505,505,505,505,505,505,505,505,505,505,505"
13702,"Everyday Adventures","Samuel Scoville","21754,22742"
13703,"The Monikins","J. Fenimore Cooper",474
13704,"British Political Leaders","Justin McCarthy","2576,2576,2576"
13705,"From sketch-book and diary","Elizabeth Butler","23613,23613,23613,23613,23613"
13706,"Scouting with Kit Carson","Everett T. Tomlinson","22720,22720,22720,22720,5727,5727,5727,5727,5727,5727,5727,5727,5727,5727,22720,22720,239,21921"
13707,"Johnny Ludlow, Second Series","Mrs. Henry Wood","10753,7683,8334,239,8325,7680"
13708,"Paul and His Dog, v.2 (Novels of Paul de Kock Volume XIV)","Charles Paul de Kock",20430
13709,"The Early History of the Scottish Union Question","George W. T. Omond","2515,22760"
13710,"Historic Highways of America (Vol. 3)","Archer Butler Hulbert","20321,8325,8325,20430,20430,21359,20430"
13711,"The Wonderful Story of Lincoln","Charles M. Stevens","20430,20430,20430,21921,20430,20430,21921"
13712,"The Shriek","Charles Somerville","22455,22455"
13713,"Johnny Ludlow, Third Series","Mrs. Henry Wood","2576,239,239,239,239,239,239,239,239"
13714,"A New Sensation","Albert Ross","19986,21820,1169,12301,12296"
13715,"Wigwam and War-path; Or the Royal Chief in Chains","A. B. (Alfred Benjamin) Meacham","239,21196,239,22849,22849,22849,22849,22849,22674,22674,22849,22849,22849,22849,239,239,239,239,239,239,239"
13716,"Johnny Ludlow, Fourth Series","Mrs. Henry Wood","8334,21634,21634,7683"
13717,"The Wreck of The Red Bird","George Cary Eggleston","20789,20789"
13718,"Miss Leslie's New Cookery Book","Eliza Leslie",21149
13719,"The Shadow of the Czar","John R. Carling",21650
13720,"Emancipation and Emigration",Anonymous,"20430,20430,19986,20430,20806,20806,20806,20806,20806,20806,20806"
13721,"The Atlantic Telegraph","William Howard Russell","21820,21740,2515,21740,2515,2515,2515,2515,239,2515,2515,2515"
13722,"A Traveler in Time","August Derleth","8325,21921,8325,8325,8325,8325,8325,8325,8325,8325"
13723,"Encyclopaedia Britannica, 11th Edition, Volume 15, Slice 5",Various,"236,1405,1196,22720,21324,20225,21270,20357,239,20301,20301,6981,4084,2867,21921,2899,15645,15646,1601,20356,20356,20356"
13724,"Johnny Ludlow, Sixth Series","Mrs. Henry Wood",2576
13725,"The Trial of Jesus from a Lawyer's Standpoint, Vol. II (of II)","Walter M. Chandler","20681,21921,21651,21921"
13726,"Alice of Old Vincennes","Maurice Thompson","20430,20430,20430,20430,20430,20430"
13727,"Mythical Monsters","Charles Gould","169,239,5963,1169"
13728,"Under the Stars and Bars","Walter A. Clark","21048,20258,20194,20194,20626,20794"
13729,"The Life Of Abraham Lincoln","Ward H. Lamon","20430,20430,20430,21149,20430,20430,20430,20410,20430,20430,20430,21324,20000,20000,20347,20000,20000,20000,20000,20000,20430,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601,20000,20000,20000,20000,20000,20430,20430,21324,21324,20430,21149,20430,21921,20347,1601"
13730,"On the Trail of Grant and Lee","Frederick Trevor Hill","20430,20321,21852,21757,22516,1405,1405,1405,1405,1601,19986"
13731,"Notes and Queries, Vol. V, Number 126, March 27, 1852",Various,"7324,7324"
13732,"The Works of Charles and Mary Lamb","Charles Lamb","21651,21651,21650,2523,15879,7341,7341,2523,7341"
13733,"The Paston Letters, Volume II (of 6)",Unknown,"16873,16873,16873,16873,16873,7680,7680,7680,6965,6965,20891,20891,2515"
13734,Zoraida,"William Le Queux","5499,5599"
13735,"The Zeppelin Destroyer","William Le Queux",15135
13736,"In White Raiment","William Le Queux",21884
13737,"As We Forgive Them","William Le Queux",2576
13738,"The Day of Temptation","William Le Queux","12288,2576,239,12288,12288,12288"
13739,"Stolen Souls","William Le Queux","139,1571,139,2576,239,144,23613"
13740,"The Legend of Sleepy Hollow","Washington Irving",21993
13741,"Her Majesty's Minister","William Le Queux","11893,11893,11893,11893,11893"
13742,"The Red Room","William Le Queux","2576,2576,2576,6981"
13743,"The Eye of Istar","William Le Queux","18248,18258,18248,18258,18258,18248,18258,18258,18258,18258,18258"
13744,"An Eye for an Eye","William Le Queux",191
13745,"The Great Court Scandal","William Le Queux","2516,2516"
13746,"The Ku Klux Klan","Annie Cooper Burton","22455,15516"
13747,"Historic Highways of America (Vol. 14)","Archer Butler Hulbert","2490,2490,20430,20430,22687,22687,21921,21921,20000,20000,20000,20000,20000,21071,20430"
13748,"A Rose of Yesterday","F. Marion Crawford","21969,239"
13749,"The Mayflower and Her Log, v1","Azel Ames","15379,15379"
13750,"Pony Tracks","Frederic Remington","22856,15664,239,15664,4037,15664,2868,23459"
13751,"The Wonderful Story of Washington","Charles M. Stevens","20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20373,20321,20321,20321,20321,20321,20321"
13752,"Abolition a Sedition","Geo. W. Donohue",152
13753,"Shaun O'Day of Ireland","Madeline Brandeis",21921
13754,"South Africa and the Transvaal War, Vol. V (of VI)","Louis Creswicke","23597,23574,23568,23597,23613,23574,23574,23574,23597,23508"
13755,"The Mayflower and Her Log, v2","Azel Ames","15379,15379,15379"
13756,"Clara Vaughan, Volume I (of III)","R. D. Blackmore","7969,7952"
13757,"Clara Vaughan, Volume III (of III)","R. D. Blackmore",7952
13758,"From Workhouse to Westminster","George Haw","23568,23568,23568,7969,23568,23568,21150,2576,2576,2576,7969,7969,2576,2576"
13759,"The Paston Letters, Volume III (of 6)",Unknown,"20891,20891,20891"
13760,"Josh Billings on Ice","Henry Wheeler Shaw","20430,21732"
13761,"The Revolt of the Star Men","Raymond Gallun",21312
13762,"The Spirit of the Ghetto","Hutchins Hapgood","2514,239,239,20430,20430"
13763,"The Moon Destroyers","Monroe K. Ruch","239,239,239,22455,239"
13764,"The Mayflower and Her Log, v3","Azel Ames","15379,15379,15379,15379,15379"
13765,"Historic Highways of America (Vol. 12)","Archer Butler Hulbert","2490,493,21150,2490,2490"
13766,"A Philadelphia Lawyer in the London Courts","Thomas Leaming","2576,239"
13767,"Fire and Sword in the Sudan","Rudolf C. Slatin","18248,18248,18248,18248,18248,18248,18258,18248,18258,18258,18258,18258,18248,18248,18248,18248,18248,18248,18248,18248,18248,18258,18258,18258,18258,18258,18258,18258,18248,18248,18258,18258,18258,18258,18258,18248,18258,18258,18258,18258,18248,18258,18258,18258,18258,18248,18258,18258,18258,18258,18248,18258,18248,18258,18258,18258,18248,18248,18248,18248,18248,18258,18248,18248,18248,18258,18258,18258,18258,18258,18258,18258,18258,18258,18258,18258,18248,18258,18248,18248,18258,18258,18258,18258,18258,18248,18248,18248,18248,18248,18248,18248,18248,18258,18248,18258,18258,18248,18258,18248,18248,18248,18258,18248,18248,18258,18248,18258,18258,18248,18248,18248,18258,18248,18258,18258,18248,18248,18248,18258,18248,18248,18258,18248,18258,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18258,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18248,18258,18248,18248,18248,18248,18248,18258,18248,18248,18248,18258,18258,182"
13768,"Brave Deeds of Union Soldiers","Samuel Scoville","20430,20430,20430,20430,20430,20430,20430,22942,20430"
13769,"The Marines Have Landed","Giles Bishop","236,1405,170,15056,21921,170,170,170,170,170,170,170,170"
13770,"The Mayflower and Her Log, v4","Azel Ames","15379,15379,15379,15379,15379,15379"
13771,"Historic Highways of America (Vol. 10)","Archer Butler Hulbert","20000,20430,23459,23459,20347"
13772,"The Old First Massachusetts Coast Artillery in War and Peace","Frederick Morse Cutler","21426,21458,239,21458,21149,21921,21458,21477,21458,20430,21458,20410,21458,21426,21458,21458,21426,21426,21458,21426,21458,21426,21458,21426,21458,21458,21458,15378,21439,21426,22376,21426,21426,21458,21458,21458,21426"
13773,"English and Scottish Ballads, Volume VII (of 8)",Various,2515
13774,"International Law. A Treatise. Volume I (of 2)","Lassa Francis Oppenheim","14581,14581,2516,18527,18445,18445,18527,18445,22746,239,18445,18445,20976,8334,8334,5852,5852,20976,8334,14581,14581,14581,14581,14581,18527,14581,20976,18445"
13775,"International Law. A Treatise. Volume II (of 2)","Lassa Francis Oppenheim","20976,20976,14004,23613,20976,20976,239,20976,8334,20976,1601,18527,20976,15135,1601"
13776,"The Onslaught from Rigel","Fletcher Pratt","21820,239,239,20681,20681,20681,20681,21879,20681,21879,21879,21879,20681,20681"
13777,"The Mayflower and Her Log, v5","Azel Ames","15379,15379"
13778,"In Hostile Red","Joseph  Altsheler",21993
13779,"The Hallowell Partnership","Katharine Holland Brown","2490,21651"
13780,"Encyclopaedia Britannica, 11th Edition, Volume 15, Slice 4",Various,"556,556,20891,7835,236,8325,23508,23613,23613,1601,1196,15879,2516,20430,21921,22827,21740,21359,23613,2515,22888,15135,21921,1405,14593"
13781,"The Mayflower and Her Log, v6","Azel Ames",15379
13782,"The Land of Tomorrow","William B Stephenson, Jr.","22720,22455,239,22455,65,239,239,239"
13783,"Historic Highways of America (Vol. 11)","Archer Butler Hulbert","22171,20321,2516,21921,21388,20772"
13784,"The Mayflower and Her Log, Complete","Azel Ames","15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379,15379"
13785,"Insula Sanctorum et Doctorum","John Healy","21820,21280,21820,21820"
13786,"The Curiosities and Law of Wills","John Proffatt",21921
13787,"May Carols","Aubrey De Vere","1766,20891,20891,1766,20891,20891"
13788,"The Hunchback of Westminster","William Le Queux","19983,2576"
13789,"Christopher Columbus, Volume 1","Filson Young",4084
13790,"The Paston Letters, Volume IV (of 6)",Unknown,"7740,7740,20891"
13791,"The Golden Bough (Vol. 1 of 2)","James George Frazer","21147,474,22108"
13792,"The Sign of the Stranger","William Le Queux","11893,11893,11893,11893,11893,11893,11893,11893"
13793,"Christopher Columbus, Volume 2","Filson Young","1571,22720,22720,22720,22720,22720,22720,22760,1571,22760,22760,1571,1571,1571,1571,1571,1571,1571,18631,1571,18527,1571,1571,18527,1571,18527"
13794,"Whatsoever a Man Soweth","William Le Queux","20797,5852,2576,23613"
13795,"Her Royal Highness","William Le Queux","5852,18240,18240,5852,11891,11891"
13796,"Eastern Nights - and Flights","Alan Bott","5852,20681,5852,5852,22108"
13797,"The Journal of the Debates in the Convention which framed the Constitution of the United States, Volume II (of 2)","James Madison",2515
13798,"Mary Lee the Red Cross Girl","Helen Hart","21921,22746,22746,21921,21942,21942,21921"
13799,"Christopher Columbus, Volume 3","Filson Young","18527,18527,1571,18527,1571,1571,18527,18527,1571,18527,1571,18527,18527,15645,1571,22720,1571,1571,1571,1571,4084,1571,1571,1571,4037,4037,1571,1571,18527,1571"
13800,"Historic Highways of America (Vol. 9)","Archer Butler Hulbert","22063,21757,20475,20475,20430,20430,20430,20430,20430,20342,20430,20430,20430,20430,20430,20430,20341,20341,21754,20430,20430,22063,22063,20430"
13801,"The Amazing Argentine","John Foster Fraser","191,191,191,169,191,169,169,191,191,327,327,327,191,22720,18527,18527,19983,191,1601,20078,169,20078,191,20078,191,191,191,191,191,191,191,191,191,191,191,191,5852,191,191,169,169,169,169,191,191,169,191,191,169,191,191,191,191,191,236,191,191,169,191,191,169,191,191,191,191,191,191,191,191,191,236,15645,191,191,191,191,191,191,191,191,22720,2018,191,191,191,191,191,191,191,234,234,191,191,191,191,191,191,1598,191,191,191,191,191,191,191,191,191,191,169,191,191,2018,191,191,191,191,191,191,327,327,327,327,327,327,327,327,327,191,191,191,191,191,191,191,191,191,169,191,191,191,191,191,191,191,228,228,228,228,191,1169,191,191,4036,22720,22720,191,191,19983,191,191,191,191,191,191,22720,2018,2018,22720,2018,2018,191,23104,2018,141,191,2018,2018,191,191,191,327,191,327,191,191,15645,327,191,327,191,327,169,22720,191,22720,191,236,191,169,191,191,191,191,22888"
13802,"Christopher Columbus, Volume 4","Filson Young","22760,1571,1169"
13803,"Dorothy at Skyrie","Evelyn Raymond",20681
13804,"Historic Highways of America (Vol. 5)","Archer Butler Hulbert","21359,21359,21359"
13805,"Christopher Columbus, Volume 5","Filson Young","236,152,4121,22720"
13806,"The Wolf Cub","Patrick Casey","6112,324,324,324,324,324,236,6112,236"
13807,"Christopher Columbus, Volume 6","Filson Young","15823,1637"
13808,"The Stolen Statesman","William Le Queux","7547,2576,556,556,556,556,556,556,556,556,2576"
13809,"Number 70, Berlin","William Le Queux","2576,20430,2576"
13810,"The Bomb-Makers","William Le Queux","2576,2576,2576,2576"
13811,"The White Rose of Memphis","William C. Falkner","20430,20430,20430,20430,20430,21921,20430,20430,21921,20600,20600,20600,20600,20600,20600,20600,20600,20430,20600,20600,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,239,20430,20430,20430,20430,20430,239"
13812,"The Theory and Practice of Model Aeroplaning","V. E. Johnson",1547
13813,"A Plucky Girl","L. T. Meade","2576,2576,2576"
13814,"Notes and Queries, Vol. V, Number 127, April 3, 1852",Various,4089
13815,"The Drunkard","Cyril Arthur Edward Ranger Gull","2576,2576,2576,2576,2576"
13816,"Christopher Columbus, Volume 7","Filson Young","2538,4079,22760,16797"
13817,"The Rand-McNally Bible Atlas","Jesse L. Hurlbut","21969,20626,22108,22108,22108,22108,22108,22108,65,65,65,65,5597,20525,22108"
13818,"Historic Highways of America (Vol. 6)","Archer Butler Hulbert","21921,19983,505,505,19986,21757,19983,21757,20783,20430,21757,20430,20410"
13819,"Club Life of London, Vol. I (of 2)","John Timbs","2516,2514,2576"
13820,"Lancashire Folk-lore","John Harland",21650
13821,"The Soul of Golf","Percy Adolphus Vaile",2870
13822,"Christopher Columbus, Volume 8","Filson Young","169,4079"
13823,"The Mystery of the Hidden Room","Marion Harvey","21921,21921,20430,21921"
13824,"Historic Highways of America (Vol. 4)","Archer Butler Hulbert","21359,21359,21359,21049,21359,20430,20792,20792,20792,20792,19983,20430"
13825,"The Walking Delegate","Leroy Scott","20681,20681,21921,21921"
13826,"Encyclopaedia Britannica, 11th Edition, Volume 15, Slice 3",Various,"20976,20976,20976,20976,7395,21921,20430,2867,6965,21921,21921,15135,15135,21921,20556,20556,20556,4037,3928,20078,21726,21921,12288,21921,21921,2382,21921,21726,21726,21744"
13827,"Golden Alaska","Ernest Ingersoll","21921,20342,239,239,239,20430,22746,22720,20357,1601,239,19983,239,19983,23459,239,239,239,19983,239,22888"
13828,"The Red Battle Flyer","Capt. Manfred Freiherr von Richthofen",19983
13829,"Christopher Columbus, Complete","Filson Young","4084,1571,22720,22720,22720,22720,22720,22720,1571,22760,1571,1571,1571,1571,1571,18631,1571,1571,18527,1571,1571,22760,18527,1571,1571,22760,18527,18527,15645,18527,18527,18527,1571,18527,1571,1571,18527,18527,1571,1571,22720,18527,1571,1571,1571,1571,1571,4084,1571,1571,1571,4037,4037,22760,1571,1571,1571,1169,152,4121,22720,15823,1637,2538,4079,22760,16797,4079,169,18527,1571,236"
13830,"The Romance of Modern Invention","Archibald Williams","2514,239,20681,23613,1547,1547,1547,1547"
13831,"The Chronicle of the Norman Conquest","Master Wace",14002
13832,"Homes and Haunts of the Most Eminent British Poets, Vol. I (of 2)","William Howitt","2576,2523,2576,2576"
13833,"Historic Highways of America (Vol. 8)","Archer Butler Hulbert","2461,20917,20475,21363,20475,20475,20475,20475,20475,20475,20475,20475,20475,20475,20475,21363,20475,20475,20475,20475,20475,20475,22942,21852,21852,20475,20475,20475,21852,21852,21852,20475,21852,20475,21363,20475,20475,20475,20475,20475,20475,20475,20475,21852,21852,2438,21363,20475,20475,20475,20772,21852,20917,20917,21852,20917,21363"
13834,"The Siege of Norwich Castle","Matilda Maria Blake",505
13835,"Sharps and Flats","John Nevil Maskelyne","239,239,2576,239,239,21921,21921"
13836,"The White Scalper","Gustave Aimard","6102,6102,6102,146,146,20410,3857,3857"
13837,"Address to the Non-Slaveholders of the South","Lewis Tappan","20000,20430,20430,20430,20194"
13838,"Woodland Gleanings","Charles Tilt","7877,7877,23019,23019,23019"
13839,"'I Believe' and other essays","Cyril Arthur Edward Ranger Gull","1571,20976,20976,20976,2576"
13840,"Historic Highways of America (Vol. 7)","Archer Butler Hulbert","21740,21363,22171,22171,21921,21359,2490,21363,20475,21388,21363,21740,21740,2490,21740,21740,21740,21359,21359,21359,21359,21359,21359,21359,21359,2461,21359,21388,21388,2490,20577,21388,21363,21246,21246,21246,22171"
13841,"Diary of Samuel Pepys, January 1659/1660","Samuel Pepys",20373
13842,"To Him That Hath","Leroy Scott","22679,22679"
13843,"The Great Strike on the 'Q'","John A. Hall","20357,20347,20347,21194,20357,20357,21324,20357,21363,20357,20357,21190,20357,21249,20357,20357,20357,21324,21324,21324,22720,20357,20347,20347,20347"
13844,"Whither Thou Goest","William Le Queux",20321
13845,"The Voice from the Void","William Le Queux","2576,2576,2576,21740,2576"
13846,"Sant of the Secret Service","William Le Queux","11893,1571,15135,2576,2576,1571"
13847,"This House to Let","William Le Queux",2576
13848,"Historical Description of Westminster Abbey",Anonymous,"2515,2516,2538,2516,7341,2576"
13849,Self-control,"Mary Brunton",2523
13850,"The Great God Gold","William Le Queux","2576,19983,2576"
13851,"John Jacob Astor","Elbert Hubbard","2490,2523,21458,2523"
13852,"The Voyages of Pedro Fernandez de Quiros","Pedro Fernandez de Quiros","14578,15048,1169,1169,1169,1169,142,4036,142,1405,144,1169,1405,1169,1169,144,142,1169,1169,1571,239,239,1169,2869,1574,2867,15645,142,142,1169,4089,22565,4089,4089,1169,1169,1169,4089,1169,1169,1169,1169,1574,1169,142,4089,142,142,20891,142,4036,1762,2869,2869,2869,1169,1169,1169,1169,1169,1169,1169,142,4036,1169,1169,3854,3854,142,3854,1571,1571,1169,1169,1169,20891,20891,1405,236,2869,15516,4036,16836,4037,4036,3854,1571,1169,1169,14578,14578,2867,1762,2867,236,2867,4036,4036,2867,6464,1762,1762,144,239,239"
13853,"Notes and Queries, Vol. V, Number 129, April 17, 1852",Various,20891
13854,"Venice and its Story","Thomas Okey",11895
13855,"Diary of Samuel Pepys, May 1660","Samuel Pepys","21336,15135"
13856,"The life of Isambard Kingdom Brunel, Civil Engineer","Isambard Brunel","2514,22687,22687,10753,10753,7849,7849,21741,7849"
13857,"The Eve of All-Hallows, v. 1 of 3","Matthew Weld Hartstonge","2516,2516,2516,2516,2516"
13858,"The Secrets of a Kuttite","Edward O. Mousley",5852
13859,"Totem and Taboo","Sigmund Freud",21147
13860,"The Diary of John Evelyn (Vol 1 of 2)","John Evelyn","6981,1571,1571,1571,1571,1571,2869,2515,20891"
13861,"Stories of Useful Inventions","Samuel Eagle Foreman",239
13862,"Military Career of Napoleon the Great","Montgomery B. Gibbs","22108,14578,236,236,236,236"
13863,"The Pre-Columbian Discovery of America by the Northmen","B. F. De Costa",21426
13864,"Captain Paul","Alexandre Dumas, Pere","20430,14004,14004,14004,22760,14004,14004,14004,20321,20517"
13865,"Punch, or the London Charivari",Various,20976
13866,"The Life and Beauties of Fanny Fern",Anonymous,"20608,20608,20608,20608,20608,20608"
13867,"Over the Ocean","Curtis Guild","16714,21884,2514,22674,2514,2514,23613,2576,2523,21884,2576,21884,21884,2523,2523,20430,21536,21884,21280,2490,1571,1571,1571,144,144,20891"
13868,"The Sunset Trail","Alfred Henry Lewis","22720,22720,239,1601,22720,22720,22720,21921,1601,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,22258,21732,15516,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,1601,1601,22720,21732,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943,21732,21732,2943,22720,21732,21732,21732,2943,21732,21732,22808,15516,21732,21732,22808,21732,22728,22728,15648,15648,15648,15648,15648,15648,20357,21672,21672,22808,22808,15648,15648,20357,21732,22907,20357"
13869,"Little Washington's Relatives","Lillian Elizabeth Roy","20321,20321,21359,21359,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321"
13870,"In Search of a Siberian Klondike","Homer B. Hulbert","239,239,239,239,239,239,239,239"
13871,"The Americans","Edwin Davies Schoonmaker",236
13872,"With the Battle Fleet","Franklin Matthews","20078,1601,21921,239,236,21150,21820,239,1169,1169,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,21969,2876,2876,2876,21820,21820,223,21458,239,20078,22455,239,15646,1169,239,22455,15646,239,20078,239,239,239,239,239,2876,2876,239,2876,2876,15646,22521,4045"
13873,"A Guide to the Virginia Springs","John Jennings Moorman","21757,19986,19986,19986,21150,21048,19986,2515,20634,2516,20430"
13874,"Ten Thousand a-Year. Volume 3.","Samuel Warren","2576,2576"
13875,"With the Zionists in Gallipoli","John Henry Patterson","5852,5852,20976"
13876,"Among the Humorists and After Dinner Speakers, Vol. I",Various,"2515,2515,20430,15135,15135,15135,20430,21921,21921,21921,21149,21919,21388,19986,21921"
13877,"Diary of Samuel Pepys, 1660","Samuel Pepys","20373,21336,15135"
13878,"The Assault","Frederic William Wile","1601,21521,5263,20939,15135,2514,2576,14249,21740,21149"
13879,"Diary of Samuel Pepys, January/February/March 1660/61","Samuel Pepys",21572
13880,"Dan Carter Cub Scout","Mildred A. Wirt",21170
13881,"The Mediterranean","T. G. (Thomas Gray) Bonney, E. A. R. Ball, H. D. Traill, Grant","11893,5963,4036,1571,1571,15879,1169,1169,11893,505,505,11893,505,505,505,505,239,505,505,505,505,11893,11893,11893,11893,505,11893,11893,11893,505,11893,11893,5852,5852,5852,5852,5852,5852,5852,5852,5852,5852,5852,11744,11744,11744,11744,18527,12288,21651,21651,1571,11804,5963,5852,505,5852,11893,11893,5963,18527"
13882,"Encyclopaedia Britannica, 11th Edition, Volume 15, Slice 2",Various,"6112,6067,23613,22720,1405,1405,1405,236,1405,1601,18527,1405,1405,234,12296,12301,12296,12301,12301,12296,21921,1601,12299,12301,12301,21921,20194,239,239,239,20976,20976,2867"
13883,"The Ocean Wireless Boys and the Lost Liner","Wilbur Lawton","20430,20430,1405,3850,3850,1405,3850,3850,3850,3850"
13884,"The American Revolution","John Fiske","21359,21969,20475,21716,20373,21439,21149,21359,21359,21439,21359,21359,21359,20373,21969,21969,21740,21740,20475,20475,21716,21740,21740,21993,20475,21993,21993,21969,20475,21359,20475,21716,20475,20475,20475,21359,20475,21716,21716,21740,21359,20475,21359,21359,21359,21740,21740,21149,21757,21150,20475,21993,21716,21757,21757,21757,21757,21150,21458,21726,21969,20475,21993,20475,20475,20475,20475,21969,21969,21993,21958,21740,21969,21150,21150,21150"
13885,"The Australian Explorers","George Grimm","2523,20603,428,428,413,21884,20353,16720,441,391"
13886,"History of the Johnstown Flood","Willis Fletcher Johnson","20489,21149,20684,20357,21336,21150,20908,21458,20357,21958,22455"
13887,"Miles Tremenhere, Vol 1 of 2","Annette Marie Maillard",2576
13888,"Pastoral Days","William Hamilton Gibson",22827
13889,"Diary of Samuel Pepys, June/July/August 1661","Samuel Pepys",505
13890,"Christianity and Modern Thought",Various,21458
13891,"The Strange Adventures of Andrew Battell","Andrew Battell","18527,21651,191,191,14578,1571,1295,1169,15135,1169,2870,14578,1196,1196,1169,18527"
13892,"The Heroes of Asgard","Annie Keary","152,21921"
13893,"Miss Marjoribanks","Mrs (Margaret) Oliphant","20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792,20792"
13894,"The Magazine Style-Code","Leigh H. Irvine","239,21921,21921,239,239,20357,239,21921,20430"
13895,"Arbuthnotiana: The Story of the St. Alb-ns Ghost (1712) A Catalogue of Dr. Arbuthnot's Library (1779)",Anonymous,22455
13896,"New Homes for Old","Sophonisba Preston Breckinridge","21921,21921,21921,21363,21363,21426,21921,21538,21921,21426,21921,21426,21196,21185,21740,21361,21361,22455,239,21538,21114,21477,21726,21921,21726,21754,21921,21538,22746,21363,21921"
13897,"Notes and Queries, Vol. V, Number 131, May 1, 1852",Various,2514
13898,"Rose A  Charlitte","Marshall Saunders","21740,14002,21740,19983,2538,21740,20430,21740"
13899,"Local Color","Irvin S. Cobb","2490,22975,22975,21820,21969,239,15664,15664"
13900,"English Songs and Ballads",Various,"21651,2523"
13901,"The Letters of her Mother to Elizabeth","W. R. H. (William Rutherford Hayes) Trowbridge","7547,15879,15879,15879,15879,15879,15879,15879,15879,2576,2576"
13902,"Diary of Samuel Pepys, 1661","Samuel Pepys","21572,505"
13903,"My Danish Sweetheart., Volume 2 of 3","William Clark Russell","23613,23613,23613,23613,1169,1169,1169,1169,1169,1169,1169,23613"
13904,"My Danish Sweetheart, Volume 3 of 3","William Clark Russell","23613,1169,1169,23613,23613,23613,23613,23613,23527,23527,23527,23527,23613,23527,23527,23527,23613,23527,23613,23527,23527,23527,23613,23527,1169,1169"
13905,"The Exiles of Florida","Joshua R. Giddings","20430,20430,20000,20000,20430,20000,20430,20430,20430,20430,20430,20430,20430,20430,20000,20430,20430,20430,20430,20430,20430,20430,20430,20430,20000,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,19989,20430,19989,20430,19989,20430,20000,19989,20430,20430,19989,19989,20430,20430,20430,20430,20430,20430,20430,20430,20430,20000,20430,20430,20000,20000,20430,20430,20430,20430,20430,20000,1601,20430,223,19989,1601,20430,20430,20430,20000,20430"
13906,"The Inner Consciousness","Swami Prakashananda","239,239"
13907,"Over the Seas for Uncle Sam","Elaine Sterne","20681,21426,20430,1405"
13908,"The Girls of St. Wode's","L. T. Meade","8334,239"
13909,"New Subspecies of the Rodent Baiomys From Central America","Robert L. Packard",1598
13910,"May Iverson's Career","Elizabeth  Jordan","20681,21820,20681"
