id,title,author
15410,"Vittoria, v4","George Meredith"
15411,"The Buccaneer Chief","Gustave Aimard"
15412,"Old Country Inns of England","Henry P. Maskell"
15413,"Bliss, and Other Stories","Katherine Mansfield"
15414,"The Arts and Crafts of Older Spain, Volume I (of 3)","Leonard Williams"
15415,"The Arts and Crafts of Older Spain, Volume II (of 3)","Leonard Williams"
15416,"The Arts and Crafts of Older Spain, Volume III (of 3)","Leonard Williams"
15417,"The Boy Chums in the Gulf of Mexico","Wilmer M. Ely"
15418,"At the Court of the Amir","John Alfred Gray"
15419,"Child Labor in City Streets","Edward Nicholas Clopper"
15420,"Haunted Places in England","Elliot O'Donnell"
15421,Stoneheart,"Gustave Aimard"
15422,"Adrift in the Unknown","William Wallace Cook"
15423,"Papers and Proceedings of the Twenty-Third General Meeting of the American Library Association",Various
15424,"The World's Great Sermons, Volume 04",Various
15425,"The Devil in Britain and America","John Ashton"
15426,"The Sea Rovers","Rufus Rockwell Wilson"
15427,"The Mormon Prophet and His Harem","C.V. Waite"
15428,"Robber and hero; the story of the raid on the First National Bank of","George Huntington"
15429,"A Collection of Essays and Fugitiv Writings","Noah Webster"
15430,"The Cradle of Mankind","W.A. Wigram"
15431,"Italian Days and Ways","Anne Hollingsworth Wharton"
15432,"The Arch-Satirist","Frances De Wolfe Fenwick"
15433,"The World's Great Sermons, Volume 5: Guthrie to Mozley",Various
15434,"Eccentricities of the Animal Creation.","John Timbs"
15435,Atala,"Francois Auguste de Chateaubriand"
15436,"Vittoria, Complete","George Meredith"
15437,"The Centenary Garland",Anonymous
15438,"The War With Mexico, Volume I (of 2)","Justin H. Smith"
15439,"The War With Mexico, Volume II (of 2)","Justin H. Smith"
15440,"The World's Great Sermons, Volume 6: H. W. Beecher to Punshon",Various
15441,"The World's Great Sermons, Volume 7: Hale to Farrar",Various
15442,"The Queen of the Savannah","Gustave Aimard"
15443,"Ruins of Ancient Cities (Vol. II of II)","Charles Bucke"
15444,"The World's Great Sermons, Volume 9: Cuyler to Van Dyke",Various
15445,"A Company of Tanks","W. H. L. Watson"
15446,"The Smuggler Chief","Gustave Aimard"
15447,Basutoland,"Minnie Martin"
15448,"Tom Fairfield's Hunting Trip","Allen Chapman"
15449,"Lee and Longstreet at High Tide","Helen D. Longstreet"
15450,"The Adventures of Harry Richmond, v3","George Meredith"
15451,"Carleton's Condensed Classical Dictionary",Unknown
15452,"Red and White","Emily Sarah Holt"
15453,Cynthia,"Leonard Merrick"
15454,"Life Aboard a British Privateer in the Time of Queen Anne","Robert C. Leslie"
15455,"A Journal from Japan","Marie Carmichael Stopes"
15456,"Hints on Dairying","T. D. Curtis"
15457,"The Dare Boys in Virginia","Stephen Angus Cox"
15458,"The Other Side of Evolution","Alexander Patterson"
15459,"The Loss of the Australia","Adam Yule"
15460,"The home","Charlotte Perkins Gilman"
15461,"With the Dyaks of Borneo","F. S. Brereton"
15462,"Roy Blakeley, Lost, Strayed or Stolen","Percy Keese Fitzhugh"
15463,"Dodo, Volumes 1 and 2","Edward Frederic Benson"
15464,"Captured at Tripoli","Percy F. Westerman"
15465,"Northern Spain","Edgar T. A. Wigram"
15466,"Blackwood's Edinburgh Magazine, Vol. 70, No. 434, December, 1851",Various
15467,"Whip and Spur","George E. Waring"
15468,"History of Civilization in England,  Vol. 1 of 3","Henry Thomas Buckle"
15469,"History of Civilization in England,  Vol. 2 of 3","Henry Thomas Buckle"
15470,"History of Civilization in England, Vol. 3 of 3","Henry Thomas Buckle"
15471,"The Wreck of the Grosvenor, Volume 1 of 3","William Clark Russell"
15472,"The Wreck of the Grosvenor, Volume 2 of 3","William Clark Russell"
15473,"The Wreck of the Grosvenor, Volume 3 of 3","William Clark Russell"
15474,"Every-day Science: Volume VI. The Conquest of Nature","Henry Smith Williams"
15475,"The Ocean Wireless Boys on the Pacific","Wilbur Lawton"
15476,"Across America by Motor-cycle","C. K. Shepherd"
15477,"A Manual of the Historical Development of Art","G. G. (Gustavus George) Zerffi"
15478,"The Adventures of Harry Richmond, v8","George Meredith"
15479,"With a Reservist in France","F. A. Bolwell"
15480,"Last of the Incas","Gustave Aimard"
15481,"The Adventures of Harry Richmond, Complete","George Meredith"
15482,"Pamphlets and Parodies on Political Subjects","William Hone"
15483,"Jack Sheppard, Vol. I (of III)","W. Harrison Ainsworth"
15484,"Jack Sheppard, Vol. II (of III)","W. Harrison Ainsworth"
15485,"Blackwood's Edinburgh Magazine, Volume 64, No. 393, July 1848",Various
15486,"A Trip to Mars","Fenton Ash"
15487,"The Secret of the Earth","Charles Willing Beale"
15488,"Armour in England","J. Starkie Gardner"
15489,"The Last Link","Ernst Haeckel"
15490,"Appletons' Popular Science Monthly, April 1899",Various
15491,"The Last Entry","William Clark Russell"
15492,Polly,"Thomas Nelson Page"
15493,"The Englishman in China During the Victorian Era, Vol. II (of 2)","Alexander Michie"
15494,"The Hammer. A Story of the Maccabean Times","Alfred John Church and Richmond Seeley"
15495,"New Zealand Moths and Butterflies","G. V. Hudson"
15496,"Science and the Criminal","C. Ainsworth Mitchell"
15497,"Letters of Samuel Taylor Coleridge, Vol. I (of 2)","Samuel Taylor Coleridge"
15498,"Letters of Samuel Taylor Coleridge, Vol. II (of 2)","Samuel Taylor Coleridge"
15499,"Systematic Theology (Volume 2 of 3)","Augustus Hopkins Strong"
15500,"Blackie & Son's Books for Young People, Catalogue 1898",Various
15501,"An Unsentimental Journey through Cornwall","Dinah Maria Craik"
15502,"Nightmare Tales","H. P. Blavatsky"
15503,"Tales Of Humour, Gallantry and Romance",Anonymous
15504,Thackerayana,"William Makepeace Thackeray"
15505,"A History of Caricature and Grotesque","Thomas Wright"
15506,"The Diatomaceae of Philadelphia and Vicinity","Charles Sumner Boyer"
15507,"The Entail","John Galt"
15508,"The Missouri Outlaws","Gustave Aimard"
15509,"Bentley's Miscellany, Volume I",Various
15510,"Slavery in Pennsylvania","Edward Raymond Turner"
15511,"Problems of Genetics","William Bateson"
15512,"The Boy Mechanic, Book 2",Various
15513,"Diplomatic Days","Edith O'Shaughnessy"
15514,"John Inglesant (Volume II of 2)","John Henry Shorthouse"
15515,"The Knickerbocker, or The New-York Monthly Magazine, December 1843",Various
15516,"Harper's Young People, December 14, 1880",Various
15517,"Harper's Young People, December 28, 1880",Various
15518,"Harper's Young People, January 18, 1881",Various
15519,"Beyond the Marne","Henriette Cuvru-Magot"
15520,"A Book of Remarkable Criminals","H. B. Irving"
15521,"Martha of California","James Otis"
15522,"Chats on Cottage and Farmhouse Furniture","Arthur Hayden"
15523,"How to Become an Engineer","Frank W. Doughty"
15524,"Man and His Migrations","R. G. (Robert Gordon) Latham"
15525,"The Northfield Tragedy, or the Robber's Raid","J. H. Hanson"
15526,"Progress of Western Education in China and Siam",Various
15527,"Blackwood's Edinburgh Magazine, Vol. 68, No 420, October 1850",Various
15528,"The Expositor's Bible: The Second Book of Samuel","W. G. Blaikie"
15529,"The Golf Courses of the British Isles","Bernard Darwin"
15530,"True Ghost Stories","Hereward Carrington"
15531,"Plantation Reminiscences","Letitia M. Burwell"
15532,"The Indians of the Painted Desert Region","George Wharton James"
15533,"The Seashore Book","E. Boyd Smith"
15534,"From a Swedish Homestead","Selma Lagerl�f"
15535,"Hell's Hatches","Lewis Ransome Freeman"
15536,"Held to Answer","Peter Clark Macfarlane"
15537,"The Mosaic History of the Creation of the World","Thomas Wood"
15538,"Brother Billy","Frances Maragret Fox"
15539,"Plant Lore, Legends, and Lyrics","Richard Folkard"
15540,"The Funny Bone",Unknown
15541,"Braddock Road","John Kennedy Lacock"
15542,"The Last Boer War","H. Rider Haggard"
15543,"Harper's Young People, January 4, 1881",Various
15544,"With the Swamp Fox","James Otis"
15545,"Harper's Young People, January 11, 1881",Various
15546,"Punch, or the London Charivari, Vol. 148, February 3, 1915",Various
15547,"The houseboat book","William F. Waugh"
15548,"Secret Service","Cyrus Townsend Brady"
15549,"Things a Boy Should Know About Electricity","Thomas M. (Thomas Matthew) St. John"
15550,"Diana of the Crossways, v3","George Meredith"
15551,"Dorothy Dixon and the Double Cousin","Dorothy Wayne"
15552,"Jack in the Rockies","George Bird Grinnell"
15553,Stronghand,"Gustave Aimard"
15554,"Punch, or the London Charivari, Vol. 109, July 20, 1895",Various
15555,"The Penitente Moradas of Abiquiu","Richard E. Ahlborn"
15556,"Notes of a Journey on the Upper Mekong, Siam","H. Warington Smyth"
15557,"Speeches of Benjamin Harrison","Benjamin Harrison"
15558,"South London","Sir Walter Besant"
15559,"The Pilgrims' Way from Winchester to Canterbury","Julia Cartwright"
15560,"Life of Wm. Tecumseh Sherman.","W. Fletcher Johnson"
15561,"To and Through Nebraska","Frances I. Sims Fulton"
15562,"Dust of the Desert","Robert Welles Ritchie"
15563,"Journeys and Experiences in Argentina, Paraguay, and Chile","Henry Stephens"
15564,"King Robert the Bruce","A. F. Murison"
15565,"Diana of the Crossways, Complete","George Meredith"
15566,"British Regiments at the Front, The Story of Their Battle Honours","Reginald Hodder"
15567,"Reminiscences of a Prisoner of War and His Escape","Daniel Avery Langworthy"
15568,"The Eighteen Christian Centuries","James White"
15569,"The World's Greatest Books -- Vol XX -- Miscellaneous Literature and Index",Various
15570,"Punch, or the London Charivari, Vol. 108, April 27, 1895",Various
15571,"Harper's Young People, January 25, 1881",Various
15572,"Forward, Children!","Paul Alexander Bartlett"
15573,"The Exiles of Faloo","Barry Pain"
15574,"The Pillars of the House, Vol. II (of 2)","Charlotte M. Yonge"
15575,"The Boy Spies of Philadelphia","James Otis"
15576,"Appletons' Popular Science Monthly, November 1899",Various
15577,"An Old New Zealander","T. Lindsay Buick"
15578,"Wanderings in Corsica, Vol. 1 of 2","Ferdinand Gregorovius"
15579,"Kinship and Social Organisation","W. H. R. Rivers"
15580,"The Passenger Pigeon",Various
15581,"One of Our Conquerors, v3","George Meredith"
15582,"Nabul, Our Little Egyptian Cousin","Blanche McManus"
15583,"The Library of Work and Play: Housekeeping","Elizabeth Hale Gilman"
15584,"Training for the Trenches","Leslie Vickers"
15585,"Punch, or the London Charivari, Vol. 109, August 3, 1895",Various
15586,Devonshire,"Francis A. Knight"
15587,"The Life Of George Cruikshank, Vol. I. (of II)","Blanchard Jerrold"
15588,"The Life Of George Cruikshank, Vol. II. (of II)","Blanchard Jerrold"
15589,"The World on Wheels and Other Sketches","Benjamin F. (Benjamin Franklin) Taylor"
15590,"The Red and the Black",Stendhal
15591,"One of Our Conquerors, v5","George Meredith"
15592,"Harper's Young People, February 1, 1881",Various
15593,"One of Our Conquerors, Complete","George Meredith"
15594,"Punch, or the London Charivari, Vol. 108, May 11th, 1895",Various
15595,"The Way to Abolish Slavery","Charles Stearns"
15596,California,"Mary Austin"
15597,"Richard Wagner His Life and His Dramas","W. J. Henderson"
15598,"Harper's Young People, February 8, 1881",Various
15599,"Daisy's Work","Joanna H. (Joanna Hooe) Mathews"
15600,"The Golden Bough: A Study in Magic and Religion (Third Edition, Vol.","James George Frazer"
15601,"A Likely Story","William De Morgan"
15602,"Adventures of the Ojibbeway and Ioway Indians in England, France, and Belgium; Vol. I (of 2)","George Catlin"
15603,"Adventures of the Ojibbeway and Ioway Indians in England, France, and Belgium; Vol. II (of 2)","George Catlin"
15604,"Dorothy Dixon and the Mystery Plane","Dorothy Wayne"
15605,"The Seventh Regiment","George L. Wood"
15606,"The Beaked Whales of the Family Ziphidae","Frederick True"
15607,"A Noble Queen, Vol. 3 (of 3)","Philip Meadows Taylor"
15608,"The Thames","G. E. Mitton"
15609,"Aids to Reflection","Samuel Taylor Coleridge"
15610,"The Book Of Ballads",Various
15611,"A Little Tour In Ireland","S. Reynolds Hole"
15612,"Betty Lee, Senior","Harriet Pyne Grove"
15613,"Punch, or the London Charivari, Vol. 109, August 10, 1895",Various
15614,"Lord Ormont and his Aminta, v5","George Meredith"
15615,"Sally Scott of the Waves","Roy J. Snell"
15616,"Stanley in Africa","James P. Boyd"
15617,"Christ Legends","Selma Lagerloef"
15618,"Kathleen's Diamonds","Mrs. Alex. McVeigh Miller"
15619,"Lord Ormont and his Aminta, Complete","George Meredith"
15620,"Ask Mamma","R. S. Surtees"
15621,"Narrative of a Journey Down the Ohio and Mississippi in 1789-90","Samuel S. Forman"
15622,"Under the Witches' Moon","Nathan Gallizier"
15623,"The Amazing Marriage, v1","George Meredith"
15624,"Time and Its Measurement","James Arthur"
15625,"The Amazing Marriage, v2","George Meredith"
15626,"The Mark of Cain","Carolyn Wells"
15627,"The Evolution of Culture","Augustus Henry Lane-Fox Pitt-Rivers"
15628,"The Motor Boys on the Atlantic","Clarence Young"
15629,"The Amazing Marriage, v3","George Meredith"
15630,"Yorkshire Battles","Edward Lamplough"
15631,"Great Cities of the United States","Gertrude Van Duyn Southworth"
15632,"Elizabethan and Jacobean Pamphlets",Various
15633,"The Comic History Of England","Gilbert Abbott A'Beckett"
15634,"Linda Carlton, Air Pilot","Edith Lavell"
15635,"The Secret Service.","Albert D. Richardson"
15636,"'Gombo Zhebes'","Lafcadio Hearn"
15637,"Punch or the London Charivari, Vol. 109, August 31, 1895",Various
15638,"The Man Who Fell Through the Earth","Carolyn Wells"
15639,"Third Warning","Roy J. Snell"
15640,"The Cruise of the Midge (Vol. I of 2)","Michael Scott"
15641,"The Cruise of the Midge (Vol. II of 2)","Michael Scott"
15642,"A Man's World","Albert Edwards"
15643,"Up Terrapin River","Opie P. Read"
15644,"The Amazing Marriage, Complete","George Meredith"
15645,"Appletons' Popular Science Monthly, May 1899",Various
15646,"The Diary of a Freshman","Charles Macomb Flandrau"
15647,"The Story of a Confederate boy in the Civil War","David E. Johnston"
15648,"The Autobiography of Parley Parker Pratt","Parley Parker Pratt"
15649,"Colin Clink, Volume II (of III)","Charles Hooton"
15650,"Colin Clink, Volume III (of III)","Charles Hooton"
15651,"Outlines of Educational Doctrine","John Frederick Herbart"
15652,"The Law of Civilization and Decay","Brooks Adams"
15653,"The Life of the Moselle","Octavius Rooke"
15654,"The Normans","Sarah Orne Jewett"
15655,"The Last of the Flatboats","George Cary Eggleston"
15656,"Harper's Young People, February 15, 1881",Various
15657,"When You Don't Know Where to Turn","Steven J. Bartlett"
15658,"Harper's Young People, February 22, 1881",Various
15659,"The Liberty Girl","Rena I. Halsey"
15660,"Punch or the London Charivari, Vol. 148, February 10, 1915",Various
15661,"Captives Among the Indians","James Smith"
15662,"Myths and Legends of the Mississippi Valley and the Great Lakes",Various
15663,"Children of the Soil","Henryk Sienkiewicz"
15664,"Harper's Young People, March 1, 1881",Various
15665,"Abstracts of Papers Read at the First International Eugenics Congress",Various
15666,"James Frederick Ferrier","Elizabeth Sanderson Haldane"
15667,"Plane and Plank","Oliver Optic"
15668,"Sixpenny Pieces","A. Neil Lyons"
15669,"Punch, or the London Charivari, Vol. 109, July 6, 1895",Various
15670,"A short history of Rhode Island","George Washington Greene"
15671,"Early American Poetry 1610-1820","New York Public Library"
15672,"For Faith and Freedom","Walter Besant"
15673,"Battles of the Civil War","Thomas Elbert Vineyard"
15674,"Random Shots From a Rifleman","John Kincaid"
15675,"Peeps at Many Lands--India","John Finnemore"
15676,"The English and Scottish Popular Ballads (Volume I of 5)",Various
15677,"The Recollections of A Drummer-Boy","Harry M. Kieffer"
15678,"Stray Pebbles from the Shores of Thought","Elizabeth Porter Gould"
15679,"A short account of the extraordinary life and travels of H. L. L.","H. L. L."
15680,"The Secret Memoirs of Bertha Krupp","Henry W. Fischer"
15681,"Miscellaneous Prose","George Meredith"
15682,"Harper's Young People, March 8, 1881",Various
15683,"Lady Lilith","Stephen McKenna"
15684,"The Mentor: Italy Under War Conditions, Vol. 6, Num. 23, Ser. No. 171, January 15, 1919","E. M. Newman"
15685,"The Mystery Girl","Carolyn Wells"
15686,"The Pioneer Trail","Alfred Lambourne"
15687,"Alphabetical Catalogue of Books in General Literature and Fiction","Chatto & Windus"
15688,"The Complete Cynic","Oliver Herford"
15689,"The Short Works of George Meredith","George Meredith"
15690,"Torpedoes and Torpedo Warfare","C. W. Sleeman"
15691,"Dick and Fitzgerald Catalog (1866)","Dick and Fitzgerald"
15692,"That Last Waif","Horace Fletcher"
15693,"The Gentleman from San Francisco","Ivan Alekseyevich Bunin"
15694,"Anne of Green Gables","Lucy Maud Montgomery"
15695,"Susan Lenox: Her Fall and Rise","David Graham Phillips"
15696,"Mr. Punch's History of Modern England Vol. II (of IV),--1857-1874","Charles L. Graves"
15697,"General Smith's Views of the Powers and Policy of the Government of the United States","Joseph Smith"
15698,"Oliver Cromwell","Samuel Rawson Gardiner"
15699,"The Logs of the Serapis-Allance-Ariel under the Command of John Paul Jones 1779-1780",Anonymous
15700,"With Rod and Line in Colorado Waters","Lewis B. France"
15701,"The Divining Rod","Charles Latimer"
15702,"Jack The Giant Killer","Percival Leigh"
15703,"Bernard Brooks' Adventures","Horatio Alger, Jr."
15704,"A Boy Trooper With Sheridan","Stanton P. Allen"
15705,"Imperial Federation","George Parkin"
15706,"The Four Corners Abroad","Amy Ella Blanchard"
15707,"On the Yukon Trail","Roy J. Snell"
15708,"The Principal Species of Wood: Their Characteristic Properties","Charles H. (Charles Henry) Snow"
15709,"The Sea: Its Stirring Story of Adventure, Peril, & Heroism. Volume 4","Frederick Whymper"
15710,"Fifty Notable Years","John G. Adams"
15711,"Sir William Wallace","A. F. Murison"
15712,"Punch or the London Charivari, Vol. 109, September 28, 1895",Various
15713,Menticulture,"Horace Fletcher"
15714,"A Little Girl in Old Washington","Amanda M. Douglas"
15715,"The Red River Half-Breed","Gustave Aimard"
15716,"An Introduction to Mythology","Lewis Spence"
15717,"My First Mission","George Q. Cannon"
15718,"William Clayton's Journal","William Clayton"
15719,"Essentials in Church History","Joseph Fielding Smith"
15720,"Lost in the Fog","James De Mille"
15721,"The Call of the East","Thurlow Fraser"
15722,"Nests and Eggs of Birds of The United States","Thomas G. Gentry"
15723,"English Pictures","Samuel Manning"
15724,"The Truth About Jesus is He a Myth?","M. M. Mangasarian"
15725,"Lincoln in Caricature","Rufus Rockwell Wilson"
15726,"How We Robbed Mexico in 1848","Robert H. Howe"
15727,"Life and Adventures of 'Billy' Dixon","Billy Dixon"
15728,"How the World Travels","A. A. Methley"
15729,"South Wind","Norman Douglas"
15730,"The Pan-Angles","Sinclair Kennedy"
15731,"History of the Jews, Vol. V (of 6)","Heinrich Graetz"
15732,"Three Acres and Liberty","Bolton Hall"
15733,"The Post Office of India and its Story","Geoffrey Clarke"
15734,"Punch, or the London Charivari, Volume 148, January 13th 1915",Various
15735,"Letters from Switzerland","Samuel Irenaeus Prime"
15736,"The Rise of the Russian Empire","Hector H. Munro"
15737,"The Whirl","Foxcroft Davis"
15738,"The Philippine Islands, 1493-1898, Volume XXXV, 1640-1649",Various
15739,"Salvador of the Twentieth Century","Percy F. Martin"
15740,"The Life of Francis Thompson","Everard Meynell"
15741,"Beautiful Ferns","Daniel Cady Eaton"
15742,"The Anglo-Saxon Century","John Dos Passos"
15743,"The Children's Book of Thanksgiving Stories",Various
15744,"Appletons' Popular Science Monthly, June 1899",Various
15745,"The London Mercury, Vol. I, Nos. 1-6, November 1919 to April 1920",Various
15746,"The Pony Rider Boys in New England","Frank Gee Patchin"
15747,"Our Standard-Bearer","Oliver Optic"
15748,"Gardening Without Irrigation: or without much, anyway","Steve Solomon"
15749,"The Story of Slavery","Booker T. Washington"
15750,"The History, Theory, and Practice of Illuminating","M. Digby Wyatt"
15751,"Charles Bradlaugh: a Record of His Life and Work, Volume I (of 2)","Hypatia Bradlaugh Bonner and J. M. (John Mackinnon) Robertson"
15752,"Charles Bradlaugh: a Record of His Life and Work, Volume II (of 2)","Hypatia Bradlaugh Bonner and J. M. (John Mackinnon) Robertson"
15753,"Studies of Travel - Greece","Edward A. Freeman"
15754,"The Helpers","Francis Lynde"
15755,"Learn to Invent, First Steps for Beginners Young and Old","S. E. Clark"
15756,"On Your Mark!","Ralph Henry Barbour"
15757,"Pirates' Hope","Francis Lynde"
15758,"The Way to the West","Emerson Hough"
15759,"The Radio Boys Under the Sea","J. W. Duffield"
15760,"The House of the Lord","James E. Talmage"
15761,"Harper's Young People, March 15, 1881",Various
15762,"Historic Sites of Lancashire and Cheshire","James Croston"
15763,"The Library of Work and Play: Outdoor Work","Mary Rogers Miller"
15764,"Reminiscences of a Liverpool Shipowner, 1850-1920","Sir William Bower Forwood"
15765,"How to Travel","Thomas W. Knox"
15766,"Peter Parley's Own Story","Samuel G. Goodrich"
15767,"The Siberian Overland Route from Peking to Petersburg,","Alexander Michie"
15768,"The Autobiography of a Thief","Hutchins Hapgood"
15769,"Fresh Leaves","Fanny Fern"
15770,"Dorothy Dixon Wins Her Wings","Dorothy Wayne"
15771,"Vacation days in Greece","Rufus B. Richardson"
15772,"Americana Ebrietatis","Hewson L. Peeke"
15773,"Red as a Rose is She","Rhoda Broughton"
15774,"The Invention of the Track Circuit","American Railway Association"
15775,"The Boy Aviators in Record Flight","Wilbur Lawton"
15776,"Burritt College Centennial Celebration","Charles Lee Lewis"
15777,"The International Development of China","Sun Yat-sen"
15778,"The Descent of Man and Other Stories","Edith Wharton"
15779,"Harper's Young People, March 22, 1881",Various
15780,"Harper's Young People, March 29, 1881",Various
15781,"Harper's Young People, April 5, 1881",Various
15782,"Tales of Our Coast","S. R. Crockett"
15783,"Aaron's Rod","D. H. Lawrence"
15784,"Fallen Fortunes","Evelyn Everett-Green"
15785,"Novanglus, and Massachusettensis","John Adams"
15786,"The Call of the South","Robert Lee Durham"
15787,"The Flight of the Silver Ship","Hugh McAlister"
15788,"Legends of the Pike's Peak Region","Ernest Whitney"
15789,"Charles Sumner; his complete works, volume 1 (of 20)","Charles Sumner"
15790,"Motion Picture Operation, Stage Electrics and Illusions","Henry C. Horstmann"
15791,"History of the Twelfth West Virginia Volunteer Infantry","William Hewitt"
15792,"After Prison - What?","Maud Ballington Booth"
15793,"Magic, Stage Illusions and Scientific Diversions Including Trick Photography","Albert A. Hopkins"
15794,"The Knickerbocker, Vol. 10, No. 2, August 1837",Various
15795,"Early Western Travels 1748-1846, Volume 21",Various
15796,"Frontier Ballads","Joseph Mills Hanson"
15797,"Popular British Ballads, Ancient and Modern, Vol. 2 (of 4)",Various
15798,"The History of Signboards","Jacob Larwood"
15799,"The Farm That Won't Wear Out","Cyril G. Hopkins"
15800,"The Curlytops at Sunset Beach","Howard Roger Garis"
15801,"Born in Exile","George Gissing"
15802,"The Argentine in the Twentieth Century","Albert B. Martinez"
15803,"The Bungalow Boys in the Great Northwest","John Henry Goldfrap"
15804,"The Pansy Magazine, January 1886",Various
15805,"The Pansy Magazine, March 1886",Various
15806,"The Works of Hubert Howe Bancroft, Volume 5","Hubert Howe Bancroft"
15807,"Inventions of the Great War","A. Russell (Alexander Russell) Bond"
15808,"Nine O'Clock Talks","Frederic B. Kellogg"
15809,"Studies in Folk-Song and Popular Poetry","Alfred M. Williams"
15810,"Harum Scarum's Fortune","Esme Stuart"
15811,"The History of the Devils of Loudun, Volumes I-III",Unknown
15812,"Systematic Theology (Volume 3 of 3)","Augustus Hopkins Strong"
15813,"The Knickerbocker, Vol. 10, No. 3, September 1837",Various
15814,"The A B C of Mining","Charles A. Bramble"
15815,"Biographies of Working Men","Grant Allen"
15816,Oxford,"Robert Peel and H. C. Minchin"
15817,"Emma McChesney & Co.","Edna Ferber"
15818,"The Life of John Taylor","B. H. Roberts"
15819,"An American Hobo in Europe","Ben Goodkind"
15820,"The Adventure Girls in the Air","Clair Blank"
15821,"The Norwegian Fjords","A. Heaton Cooper"
15822,"Footprints of Former Men in Far Cornwall","Robert S. Hawker"
15823,"The Knickerbocker, Vol. 10, No. 4, October 1837",Various
15824,"Tom Swift and his Photo Telephone","Victor Appleton"
15825,"Ladies and Gentlemen","Irvin S. (Irvin Shrewsbury) Cobb"
15826,"From North Carolina to Southern California Without a Ticket and How I Did It","John Peele"
15827,"The Young O'Briens","Margaret Westrup"
15828,"Harper's Young People, April 12, 1881",Various
15829,"The Motor Boys in the Clouds","Clarence Young"
15830,"Harper's Young People, April 19, 1881",Various
15831,"The Hermit and the Wild Woman and Other Stories","Edith Wharton"
15832,"The Library of Work and Play: Electricity and Its Everyday Uses","John F. Woodhull"
15833,"Illuminated Manuscripts in Classical and Mediaeval Times","J. Henry Middleton"
15834,"Harper's Young People, April 26, 1881",Various
15835,"Through Bosnia and Herzegovina With a Paint Brush","Mrs. E. R. Whitwell"
15836,"The Practical Ostrich Feather Dyer","Alexander Paul"
15837,"Artificial and Natural Flight","Hiram S. Maxim"
15838,"Harper's Young People, May 3, 1881",Various
15839,"The Master Key","L. Frank Baum"
15840,"French Dishes for American Tables","Pierre Caron"
15841,"Remarkable Rogues","Charles Kingston"
15842,"Sylvia's Lovers, Vol. II","Elizabeth Gaskell"
15843,"Anno Domini 2071","Pieter Harting"
15844,"A Maid and a Million Men","James G Dunton"
15845,"A History of American Literature","Percy H. Boynton"
15846,"New Zealanders at Gallipoli","Major Fred Waite"
15847,"Appletons' Popular Science Monthly, July 1899",Various
15848,"The Ghost World","T. F. Thiselton (Thomas Firminger Thiselton) Dyer"
15849,"The Secret of the Totem","Andrew Lang"
15850,"Josh Billings, Hiz Sayings","Henry Wheeler Shaw"
15851,"History of the Anglo-Saxons","Thomas Miller"
15852,"Our English Towns and Villages","H. R. Wilton Hall"
15853,"Sylvia's Lovers -- Complete","Elizabeth Cleghorn Gaskell"
15854,"The Adventurous Life of a Versatile Artist: Houdini","Harry Houdini"
15855,"Road Scrapings: Coaches and Coaching","M. E. Haworth"
15856,"Plays--First Series","August Strindberg"
15857,"The Old World and Its Ways","William Jennings Bryan"
15858,"All About Dogs","Charles Henry Lane"
15859,"The Blue and The Gray","A. R. White"
15860,"The Indian: On the Battle-Field and in the Wigwam","John Frost"
15861,Lincolniana,"Andrew Adderup"
15862,"Morality Without God","M. M. Mangasarian"
15863,"Back to God's Country and Other Stories","James Oliver Curwood"
15864,"From the Cape to Cairo","Ewart S. Grogan and Arthur H. Sharp"
15865,"A Boy Crusoe","Allan Eric"
15866,"In His Steps","Charles M. Sheldon"
15867,"Punch, or the London Charivari, Vol. 109, November 9th, 1895",Various
15868,"The Guide of the Desert","Gustave Aimard"
15869,"The Insurgent Chief","Gustave Aimard"
15870,"The Flying Horseman","Gustave Aimard"
15871,"Pickett's Gap","Homer Greene"
15872,"The Pansy Magazine, April 1886",Various
15873,"The Pansy Magazine, July 1886",Various
15874,"The Crown of Life","George Gissing"
15875,Composition,"Arthur Dow"
15876,Broke,"Edwin A. Brown"
15877,"The North Pacific","Willis Boyd Allen"
15878,"Handbook of Freethought",Various
15879,"The Chimney-Corner","Christopher Crowfield"
15880,"Dorothy Dixon Solves the Conway Case","Dorothy Wayne"
15881,"The Religio-Medical Masquerade","Frederick William Peabody"
15882,"Theodore Roosevelt","Henry Cabot Lodge"
15883,"English Illustration 'The Sixties': 1855-70","Gleeson White"
15884,"The Knickerbocker, Vol. 10, No. 5, November 1837",Various
15885,"History of the Cathedral Church of Wells","Edward A. Freeman"
15886,"Mosby's War Reminiscences","John Singleton Mosby"
15887,"Note-book No. 1 of the Kickapoo Club",Various
15888,"In Sunny Spain with Pilarica and Rafael","Katharine Lee Bates"
15889,"A Camera Actress in the Wilds of Togoland","Meg Gehrts"
15890,"Letters from an Old Railway Official","Charles DeLano Hine"
15891,"Makers of Electricity","Brother Potamian"
15892,"A Viking of the Sky","Hugh McAlister"
15893,"Abraham Lincoln","Francis Grierson"
15894,"Fern Leaves from Fanny's Port-folio.","Fanny Fern"
15895,"The Man Who Did The Right Thing","Sir Harry Johnston"
15896,"Connie Carl at Rainbow Ranch","Joan Clark"
15897,"Shadow, the Mysterious Detective","Police Captain Howard"
15898,"History of Julius Caesar Vol. 1 of 2","Napoleon III, Emperor of the French, 1808-1873."
